Disease,Content
jaundice,"Jaundice is a yellow color of the skin, mucus membranes, or eyes. The yellow coloring comes from bilirubin, a byproduct of old red blood cells. Jaundice can be a symptom of several health problems.CausesA small number of red blood cells in your body die each day, and are replaced by new ones. The liver removes the old blood cells. This creates bilirubin. The liver helps break down bilirubin so that it can be removed by the body through the stool.Jaundice can occur when too much bilirubin builds up in the body.Jaundice can occur if:Too many red blood cells are dying or breaking down and going to the liver.The liver is overloaded or damaged.The bilirubin from the liver is unable to move normally into the digestive tract.Jaundice is often a sign of a problem with the liver, gallbladder, or pancreas. Things that cancause jaundiceinclude:Infections, most commonly viralUse of certain drugsCancer of the liver, bile ducts or pancreasBlood disorders, gallstones, birth defects and a number of other medical conditionsSymptomsJaundice may appear suddenly or develop slowly over time. Symptoms of jaundice commonly include:Yellow skin and the white part of the eyes (sclera) -- when jaundice is more severe, these areas may look brownYellow color "
malaria,"Malaria is a parasitic disease that involves high fevers, shaking chills, flu-like symptoms, andanemia.CausesMalaria is caused by a parasite. It is passed to humans by the bite of infected Anopheles mosquitoes. After infection, the parasites (called sporozoites) travel through the bloodstream to the liver. There, they mature and release another form of parasites, called merozoites. The parasites enter the bloodstream and infect red blood cells (RBCs).The parasites multiply inside the red blood cells. The cells then break open within 48 to 72 hours and infect more red blood cells. The first symptoms usually occur 2 to 4 weeks after infection, though they can appear as early as 8 days or as long as a year after infection. The symptoms occur in cycles of 48 to 72 hours.Most symptoms are caused by:The release of merozoites into the bloodstreamAnemia resulting from the destruction of the red blood cellsLarge amounts of free hemoglobin being released into circulation after red blood cells break open, which can damage other organs such as the kidneysMalaria can also be transmitted from a mother to her unborn baby (congenitally) and by blood transfusions. Malaria can be carried by mosquitoes in temperate climates, but the parasite disappe"
melanoma,"Melanoma is the most dangerous type of skin cancer. It is also the rarest. It is the leading cause of death from skin disease.Other common types of skin cancer aresquamous cell carcinomaandbasal cell carcinoma.CausesMelanoma is caused by changes (mutations) in skin cells called melanocytes. These cells make a skin color pigment called melanin. Melanin is responsible for skin and hair color.Melanoma can appear on normal skin. Sometimes it can develop from moles. Moles that are present at birth may develop into melanomas. Larger moles that are present at birth may be at higher risk for developing melanoma.There are four major types of melanoma:Superficial spreading melanomais the most common type. It is usually flat and irregular in shape and color, with different shades of black and brown. It is most common in fair skin people.Nodular melanomausually starts as a raised area that is dark blackish-blue or bluish-red. Some do not have any color (amelanotic melanoma).Lentigo maligna melanomausually occurs in older people. It is most common in sun-damaged skin on the face, neck, and arms. The abnormal skin areas are usually large, flat, and tan with areas of brown.Acral lentiginous melanomais the least common form. It usually occurs on "
migraine,"A migraine is a type of headache. It may occur with symptoms such as nausea, vomiting, or sensitivity to light and sound. In most people, a throbbing pain is felt only on one side of the head.CausesA migraine headache is caused by abnormal brain activity. This activity can be triggered by many things. But the exact chain of events remains unclear. Most medical experts believe the attack begins in the brain and involves nerve pathways and chemicals. The changes affect blood flow in the brain and surrounding tissues.Migraine headaches tend to first appear between the ages of 10 and 45. Sometimes, they begin earlier or later. Migraines may run in families. Migraines occur more often in women than men. Some women, but not all, have fewer migraines when they are pregnant.Migraine attacks may be triggered by any of the following:Caffeine withdrawalChanges in hormone levels during a woman's menstrual cycle or with the use of birth control pillsChanges in sleep patterns, such as not getting enough sleepDrinking alcoholExercise or other physical stressLoud noises or bright lightsMissed mealsOdors or perfumesSmoking or exposure to smokeStress and anxietyMigraines can also be triggered by certain foods. Most common are:ChocolateDairy foods, "
obesity,"Obesity means weighing more than what is healthy for a given height. Obesity is a serious, chronic disease. It can lead to other health problems, including diabetes, heart disease, and some cancers.CausesTaking in more calories than your body uses can lead to obesity. This is because your body stores unused calories as fat. Obesity can be caused by:Eating more food than your body can useDrinking too much alcoholNot getting enough exerciseMany people with obesity who lose large amounts of weight and gain it back think it is their fault. They blame themselves for not having the willpower to keep the weight off. Many people regain more weight than they lost.Today, we know that biology is a big reason why some people cannot keep the weight off. Some people who live in the same place and eat the same foods develop obesity, while others do not. Our bodies have a complex system to keep our weight at a healthy level. In some people, this system does not work as well as it should.The way we eat when we are children can affect the way we eat as adults.The way we eat over many years becomes a habit. It affects what we eat, when we eat, and how much we eat.We may feel that we are surrounded by things that make it easy to overeat and hard to s"
osteomyelitis,"Osteomyelitis is a bone infection. It is caused by bacteria or other germs.CausesA bone infection is most often caused by bacteria. But it can also be caused by fungi or other germs. When a person has osteomyelitis:Bacteria or other germs may spread to a bone from infected skin, muscles, or tendons next to the bone. This may occur under a skin sore.The infection can start in another part of the body and spread to the bone through the blood.The infection can also start after bone surgery. This is more likely if the surgery is done after an injury or if metal rods or plates are placed in the bone.In children, thelong bonesof the arms or legs are most often involved. In adults, the feet, spine bones (vertebrae), and hips (pelvis) are most commonly affected.Risk factors are:DiabetesHemodialysisPoor blood supplyRecent injuryUse of injected illicit drugsSurgery involving bonesWeakened immune systemSymptomsSymptoms of osteomyelitis are often not specific and vary with age. Main symptoms include:Bone painExcessive sweatingFever and chillsGeneral discomfort, uneasiness, or ill feeling (malaise)Localswelling, redness, and warmthOpen wound that may show pusPain at the site of infectionExams and TestsYour health care provider will examine you"
osteoporosis,"Osteoporosis is a disease in which bones become fragile and more likely to break (fracture).CausesOsteoporosis is the most common type of bone disease.Osteoporosis increases the risk for breaking a bone. About one half of all women over the age of 50 will have a fracture of the hip, wrist, or vertebra (bones of the spine) during their lifetime. Spine fractures are the most common.Your body needs the minerals calcium and phosphate to make and keep healthy bones.During your life, your body continues to both reabsorb old bone and create new bone.As long as your body has a good balance of new and old bone, your bones stay healthy and strong.Bone loss occurs when more old bone is reabsorbed than new bone is created.Sometimes, bone loss occurs without any known cause. Other times, bone loss and thin bones run in families. In general, white, older women are the most likely to have bone loss.Brittle, fragile bones can be caused by anything that makes your body reabsorb too much bone, or keeps your body from making enough new bone. As you age, your body may reabsorb calcium and phosphate from your bones instead of keeping these minerals in your bones. This makes your bones weaker.Watch this video about:OsteoporosisA major risk is not consu"
parkinson disease,"Parkinson disease results from certain brain cells dying. These cells help control movement and coordination. The disease leads to shaking (tremors) andtrouble walking and moving.CausesNerve cells use a brain chemical called dopamine to help control muscle movement. With Parkinson disease, the brain cells that makedopamineslowly die. Without enough dopamine, the cells that control movement can't send proper messages to the muscles. This makes it hard to control the muscles. Slowly, over time, this damage gets worse. No one knows exactly why these brain cells waste away.Parkinson disease most often develops after age 60. It is one of the most common nervous system problems in older adults.The disease affects men more often than women, although women also develop the disease. Parkinson disease sometimes runs in families.The disease can occur in younger adults. In such cases, it is often due to the person's genes.Parkinson disease is rare in children.Watch this video about:Parkinson diseaseSymptomsSymptoms may be mild at first. For instance, you may have a mild tremor or a slight feeling that one leg is stiff and dragging. Jaw tremor has also been an early sign of Parkinson disease. Symptoms may affect one or both sides of the body.G"
psoriasis,"Psoriasis is a skin condition that causes skin redness, silvery scales, and irritation. Most people with psoriasis have thick, red, well-defined patches of skin with flaky, silver-whitescales. This is called plaque psoriasis.CausesPsoriasis is common. Anyone can develop it, but it most often begins between ages 10 and 35, or as people get older.Psoriasis isn't contagious. This means it doesn't spread to other people.Psoriasis seems to be passed down through families.Normal skin cells grow deep in the skin and rise to the surface about once a month. When you have psoriasis, on average this process takes place within 7 to14 days. This results in dead skin cells building up on the skin's surface, forming the collections of scales.The following may trigger an attack of psoriasis or make it harder to treat:Infections from bacteria or viruses, includingstrep throatand upper respiratory infectionsDry air or dry skinInjury to the skin, including cuts, burns, insect bites, and other skin rashesSome medicines, including antimalaria medicines, beta-blockers, and lithiumStressToo little sunlightToo much sunlight (sunburn)Psoriasis may be worse in people who have a weak immune system, including people withHIV/AIDS.Some people with psoriasis al"
schizophrenia,"Schizophrenia is a mental disorder that makes it hard to tell the difference between what is real and not real.It also makes it hard to think clearly, have normal emotional responses, and act normally in social situations.CausesSchizophrenia is a complex illness. Mental health experts are not sure what causes it. Genes may play a role.Schizophrenia occurs in just as many men as women. It usually begins in the teen or young adult years, but it may begin later in life. In women, it tends to begin slightly later.Schizophrenia in children usually begins after age 5. Childhood schizophrenia (younger than 13) is rare and can be hard to tell apart from other developmental problems.SymptomsSymptoms usually develop slowly over months or years. The person may have many symptoms, or only a few.People with schizophrenia may have trouble keeping friends and working. They may also have problems withanxiety,depression, andsuicidal thoughts or behaviors.Early symptoms may include:Irritable or tense feelingsTrouble concentratingTrouble sleepingAs the illness continues, the person may have problems with thinking, emotions, and behavior, including:Hearing or seeing things that are not there (hallucinations)IsolationReduced emotions in tone of voice "
septicemia,"Septicemia is bacteria in the blood (bacteremia) that often occurs with severe infections. Also calledsepsis, septicemia is a serious, life-threatening response to an infection that may get worse very quickly.Alternative NamesBlood poisoning; Bacteremia with sepsisReferencesShapiro NI, Jones AE. Sepsis syndrome. In: Walls RM, ed.Rosen's Emergency Medicine: Concepts and Clinical Practice. 10th ed. Philadelphia, PA: Elsevier; 2023:chap 127.Wojewoda CM, Stempak LM. Medical bacteriology. In: McPherson RA, Pincus MR, eds.Henry's Clinical Diagnosis and Management by Laboratory Methods. 24th ed. Philadelphia, PA: Elsevier; 2022:chap 57.Review Date 10/25/2022Updated by: Frank D. Brodkey, MD, FCCM, Associate Professor, Section of Pulmonary and Critical Care Medicine, University of Wisconsin School of Medicine and Public Health, Madison, WI. Also reviewed by David C. Dugdale, MD, Medical Director, Brenda Conaway, Editorial Director, and the A.D.A.M. Editorial team.Learn how to cite this pageRelated MedlinePlus Health TopicsSepsis"
transient ischemic attack,"A transient ischemic attack (TIA) occurs when blood flow to a part of the brain stops for a brief time. A person will have stroke-like symptoms for up to 24 hours. In most cases, the symptoms last for 1 to 2 hours.A transient ischemic attack is a warning sign that a truestrokemay happen in the future (often near future) if something is not done to prevent it.CausesA TIA is different than a stroke. After a TIA, the blockage breaks up quickly and dissolves on its own. A TIA does not cause brain tissue to die.The loss of blood flow to an area of the brain can be caused by:A blood clot in an artery of the brainA blood clot that travels to the brain from somewhere else in the body (for example, from the heart)An injury to blood vesselsNarrowing of a blood vessel in the brain or leading to the brainHigh blood pressureis the main risk factor for TIAs and stroke. Other majorrisk factorsare:Irregular heartbeat calledatrial fibrillationDiabetesFamily history of strokeBeing maleHigh cholesterolTendency to have abnormal blood clottingIncreasing age, especially after age 55Ethnicity (African Americans are more likely to die of stroke)SmokingAlcohol useRecreational drug useHistory of prior TIA or strokePeople who have heart disease orpoor blood"
varicose veins,"Varicose veins are swollen, twisted, and enlarged veins that you can see under the skin. They are often red or blue in color. They most often appear in the legs, but can occur in other parts of the body.CausesNormally, one-way valves in your leg veins keep blood moving up toward the heart. When the valves do not work properly, they allow blood to back up into the vein. The vein swells from the blood that collects there, which causes varicose veins over time.Varicose veins are common, and affect more women than men. They do not cause problems for most people. However, if the flow of blood through veins becomes poor enough, problems such as leg swelling and pain, blood clots, and skin changes may be present.Risk factors include:Older ageBeing female (hormonal changes from puberty, pregnancy, and menopause can lead to varicose veins, and taking birth control pills or hormone replacement can increase your risk)Being born with defective valves in the veinsObesityPregnancyHistory of blood clots in your legsStanding or sitting for long periods of timeFamily history of varicose veinsSymptomsSymptoms of varicose veins include:Fullness, heaviness, aching, and sometimespain in the legsVisible, swollen veinsVery small veins that you can see o"
bronchitis,BronchitisBronchitis is inflammation of the airways in the lungs that is usually caused by an infection. It often gets better without treatment in around 3 weeks.
dengue,"DengueDengue, also known as dengue fever, is an infection spread by mosquitoes. It's not usually serious and often gets better on its own. Some people get a more severe type of dengue, but this is rare."
aphasia,"Aphasia is when a person has difficulty with their language or speech. It's usually caused by damage to the left side of the brain (for example, after a stroke). Symptoms of aphasia: people with aphasia often have trouble with the 4 main ways people understand and use language. These are: reading, listening, speaking, typing or writing. Speaking problems are perhaps the most obvious, and people with aphasia may make mistakes with the words they use. This could be sometimes using the wrong sounds in a word, choosing the wrong word, or putting words together incorrectly. Although aphasia affects a person's ability to communicate, it doesn't affect their intelligence. Aphasia can occur by itself or alongside other disorders, such as visual difficulties, mobility problems, limb weakness, and problems with memory or thinking skills. Causes of aphasia: aphasia is caused by damage to parts of the brain responsible for understanding and producing language. Common causes include: stroke – the most common cause of aphasia, severe head injury, a brain tumour, progressive neurological conditions – conditions that cause the brain and nervous system to become damaged over time, such as dementia. Aphasia can affect people of all ages, but it's most common in people over the age of 65, because strokes and progressive neurological conditions tend to affect older adults. Complications of aphasia: the challenges of living with aphasia can impact how a person feels and interacts with others. In some cases, it can lead to isolation, anxiety, and depression. If you're concerned about someone with aphasia, encourage them to discuss any problems with their GP or a member of their care team to access the relevant support. If the person is unable to do this themselves, they may require someone to communicate on their behalf."
pneumonia,"Pneumonia is inflammation of the lungs, usually caused by an infection. Most people get better in 2 to 4 weeks, but babies, older people, and people with heart or lung conditions are at risk of getting seriously ill and may need treatment in hospital. Symptoms of pneumonia Symptoms of pneumonia can start suddenly or gradually over a few days. They include: a cough – you may cough up yellow or green mucus (phlegm) shortness of breath a high temperature chest pain an aching body feeling very tired loss of appetite making wheezing noises when you breathe – babies may also make grunting noises feeling confused – this is common in older people Treatment for pneumonia You'll usually be given antibiotics to treat pneumonia. Most people get better in 2 to 4 weeks. Some people are more at risk of becoming seriously ill. You may need to go to hospital for treatment if: you're over 65 you have cardiovascular disease or a long-term lung condition your baby or young child has pneumonia you're very unwell In hospital you'll usually be given fluids and antibiotics to treat the infection. You may also be given oxygen to help you breathe. You may be sent for an X-ray of your chest and blood tests to check for other conditions. If you're given antibiotics to take at home, contact your doctor if you do not feel better after taking them for 2 to 3 days. Causes of pneumonia Pneumonia is usually caused by a bacterial or viral infection. You can catch pneumonia from someone who has it, or you can sometimes get it if you have another infection such as: flu respiratory syncytial virus (RSV) COVID-19 Pneumonia can be caused by a fungal infection, but this is rare in healthy people in the UK. It may also be caused by something getting into your lungs, such as water or food (aspiration pneumonia). How to reduce your risk of pneumonia There are several vaccines available to help protect you or your child from infections that can cause pneumonia: pneumococcal vaccine – recommended for babies, adults over 65 and people at higher risk of pneumococcal infections flu vaccine – recommended during pregnancy, for adults over 65, people with certain long-term health conditions and those at high risk of catching or passing on flu RSV vaccine – recommended for adults aged 75 to 79, and during pregnancy (from 28 weeks onwards) to help protect your baby after they're born COVID-19 vaccine – a seasonal vaccine that's recommended for people at increased risk from COVID-19"
(vertigo) paroymsal positional vertigo,"Vertigo often gets better without treatment. See a GP if it keeps coming back or is affecting your daily life. Check if it's vertigo Vertigo feels like you or everything around you is spinning – enough to affect your balance. It's more than just feeling dizzy. A vertigo attack can last from a few seconds to hours. If you have severe vertigo, it can last for many days or months. Things you can do to help ease vertigo There are things you can do to ease vertigo symptoms when they're happening, and to reduce how often it happens. Do lie still in a quiet, dark room to reduce the spinning feeling move your head carefully and slowly during daily activities sit down straight away when you feel dizzy turn on the lights if you get up at night use a walking stick if you're at risk of falling sleep with your head slightly raised on 2 or more pillows get out of bed slowly and sit on the edge of the bed for a while before standing up try to relax – anxiety can make vertigo worse Don’t do not bend over to pick things up – squat to lower yourself instead do not stretch your neck – for example, while reaching up to a high shelf What causes vertigo Inner ear problems, which affect balance, are the most common causes of vertigo. These include: benign paroxysmal positional vertigo (BPPV) – where specific head movements cause vertigo labyrinthitis – an inner ear infection caused by a cold or flu virus vestibular neuritis – inflammation of the vestibular nerve Ménière's disease – a rare inner ear condition, which sometimes involves ringing in the ear (tinnitus) or loss of hearing Other things that can cause vertigo include: migraine some types of medicine – check the leaflet to see if it's listed as a side effect Sometimes the cause is unknown."
 accident cerebrovascular,"A stroke, also referred to as a cerebral vascular accident (CVA) or a brain attack, is an interruption in the flow of blood to cells in the brain. Check for signs of a stroke The main symptoms of a stroke can happen suddenly. They may include: face weakness – one side of your face may droop (fall) and it might be hard to smile arm weakness – you may not be able to fully lift both arms and keep them there because of weakness or numbness in 1 arm speech problems – you may slur your words or sound confused The easiest way to remember these symptoms is the word FAST. This stands for: face, arms, speech and time to call 999. Other symptoms of a stroke There are other signs that you or someone else is having a stroke. These include: weakness or numbness down 1 side of your body blurred vision or loss of sight in 1 or both eyes finding it difficult to speak or think of words confusion and memory loss feeling dizzy or falling over a severe headache Symptoms of a stroke can sometimes stop after a short time, so you may think you're OK. Even if this happens, get medical help straight away. A stroke is more likely to happen if you're older, but it can happen at any age. Medicines for a stroke Treatments you may be given, often long term, include: anticoagulants to stop blood clots forming medicines to lower your blood pressure statins to lower your cholesterol Strokes affect people in different ways. For some, it may take days or weeks to recover and there will be little impact on their life. For others, recovery can take months or years and may mean making life changes. This can include things such as adapting your home to make it easier to move around. You may have to stop work for a while or long term. Your recovery will depend on how much a stroke has affected you physically and mentally, and your rehabilitation plan. The exercises, activities and therapy sessions you do as part of your rehabilitation are often difficult, but it will help you make progress. The plan given to you by your healthcare team will help you set goals. Getting family and friends involved can also help you get better. A stroke can happen to anyone at any age, but your risk may increase if: you're over 50 years old you're from a Black or South Asian background you have sickle cell disease (SCD) you have an unhealthy lifestyle you have migraines you take the combined contraceptive pill you're pregnant and have pre-eclampsia you've just had a baby Certain conditions also increase the risk of stroke. These include: high blood pressure (hypertension) diabetes irregular and fast heartbeats (atrial fibrillation) high cholesterol a transient ischaemic attack (TIA or mini stroke) Reducing the risk of a stroke If you have a stroke, or a transient ischaemic stroke (TIA, or mini-stroke), you're more at risk of having another stroke. But there are things you can do to lower the risk. Do quit smoking eat a balanced diet exercise cut down on alcohol Don’t do not forget to take medicines for any underlying conditions such as high blood pressure or diabetes – talk to a GP if you have any problems with your medicine."
 acquired immuno-deficiency syndrome,"HIV (human immunodeficiency virus) is a virus that damages the cells in your immune system and weakens your ability to fight everyday infections and disease. AIDS (acquired immune deficiency syndrome) is the name used to describe a number of potentially life-threatening infections and illnesses that happen when your immune system has been severely damaged by the HIV virus. While AIDS cannot be transmitted from 1 person to another, the HIV virus can. There's currently no cure for HIV, but there are very effective drug treatments that enable most people with the virus to live a long and healthy life. With an early diagnosis and effective treatments, most people with HIV will not develop any AIDS-related illnesses and will live a near-normal lifespan. Symptoms of HIV infection Most people experience a short flu-like illness 2 to 6 weeks after HIV infection, which lasts for a week or 2. After these symptoms disappear, HIV may not cause any symptoms for many years, although the virus continues to damage your immune system. This means many people with HIV do not know they're infected. Anyone who thinks they could have HIV should get tested. Some people are advised to have regular tests as they're at particularly high risk. Causes of HIV infection HIV is found in the body fluids of an infected person. This includes semen, vaginal and anal fluids, blood and breast milk. It's a fragile virus and does not survive outside the body for long. HIV cannot be transmitted through sweat, urine or saliva. The most common way of getting HIV in the UK is through having anal or vaginal sex without a condom. Other ways of getting HIV include: sharing needles, syringes or other injecting equipment transmission from mother to baby during pregnancy, birth or breastfeeding The chance of getting HIV through oral sex is very low and will be dependent on many things, such as whether you receive or give oral sex and the oral hygiene of the person giving the oral sex. HIV from infected blood before 1996 If you received a blood transfusion or blood products before 1996, there's a chance you may have been infected with HIV. Diagnosing HIV Seek medical advice as soon as possible if you think you might have been exposed to HIV. You can get tested in a number of places, including at a GP surgery, sexual health clinics and clinics run by charities. The only way to find out if you have HIV is to have an HIV test. This involves testing a sample of your blood or saliva for signs of the infection. It's important to be aware that: emergency anti-HIV medicine called post-exposure prophylaxis (PEP) may stop you becoming infected if started within 72 hours of possible exposure to the virus – it's recommended that you start it as soon as possible, ideally within 24 hours an early diagnosis means you can start treatment sooner, which can improve your chances of controlling the virus, reduce the risk of becoming more unwell and reduce the chance of passing the virus on to others Both positive and negative HIV tests may need to be repeated 1 to 3 months after potential exposure to HIV infection (this is known as the window period), but you should not wait this long to seek help: clinics may offer a finger prick blood test, which can give you a result in minutes, but it may take up to a few days to get the results of a more detailed HIV test home testing or home sampling kits are available to buy online or from pharmacies – depending on the type of test you use, your result will be available in a few minutes or a few days If your first test suggests you have HIV, a further blood test will need to be carried out to confirm the result. If this is positive, you'll be referred to a specialist HIV clinic for some more tests and a discussion about your treatment options. Treatment for HIV Antiretroviral medicines are used to treat HIV. They work by stopping the virus replicating in the body, allowing the immune system to repair itself and preventing further damage. These come in the form of tablets, which need to be taken every day. HIV is able to develop resistance to a single HIV medicine very easily, but taking a combination of different medicines makes this much less likely. Most people with HIV take a combination of medicines. It's vital these are taken every day as recommended by your doctor. The goal of HIV treatment is to have an undetectable viral load. This means the level of HIV virus in your body is low enough to not be detected by a test."
adenocarcinoma,"Adenocarcinoma is a type of cancer. It starts in the glands that line your organs. Adenocarcinoma cancers can affect several areas of your body, including your lungs, stomach, pancreas and colon. Treatment options include surgery, chemotherapy or radiation therapy. Survival rates vary depending on the location, stage and type of adenocarcinoma. What are the symptoms of adenocarcinoma? Adenocarcinoma symptoms vary widely depending on which type you have. Some of the most common overlapping symptoms are: Pain near the affected organ. Blood in bodily fluids (like your pee, poop or saliva). Changes in your appetite or weight. Bloating. Lung adenocarcinoma The first symptom of adenocarcinoma of the lungs is usually a chronic cough. You may cough up saliva and mucus with small amounts of blood. Other symptoms may include: Shortness of breath. Chest pain. Wheezing. Hoarseness. Breast adenocarcinoma Healthcare providers usually find adenocarcinoma of the breast on a mammogram in the early stages before most symptoms start. Other times, you may notice certain warning signs, including: A change in a breast’s shape or size. Discolored, flaky, dimpled or uneven skin on your breast or nipple. Bloody fluid leaking from your nipple. Colorectal adenocarcinoma You may not notice any symptoms if the tumor hasn’t grown big enough. Even though colorectal adenocarcinoma typically causes bleeding in your stool (poop), the amount may be too small to see. Here are some other symptoms to watch for: Abdominal pain. Diarrhea. Constipation. Pancreatic adenocarcinoma Most people who have adenocarcinoma of the pancreas don’t have symptoms until the late stages. The first warning signs are usually stomach pain and unintentional weight loss. Other symptoms include: Back pain. Heartburn. Nausea and vomiting. Poop that floats. Prostatic adenocarcinoma Most of the time, there are no early symptoms of prostate adenocarcinoma. In the advanced stages, you may develop erectile dysfunction or notice that you pee more than usual. Esophageal adenocarcinoma Symptoms of esophageal adenocarcinoma may include: Difficulty swallowing. Indigestion. Coughing. Hoarseness. Pressure or burning in your chest. Gastric (stomach) adenocarcinoma Stomach adenocarcinoma symptoms may include: Feeling full after eating small amounts of food. Difficulty swallowing. Nausea. Indigestion. What causes adenocarcinoma? Adenocarcinoma happens when cells in the glands that line your organs divide uncontrollably and start to spread. Experts aren’t always sure why some people develop adenocarcinoma, but there are a few risk factors to consider: Smoking or vaping: Tobacco use is the primary cause of adenocarcinoma and other types of cancer. Family history: If you have a biological parent, sibling or grandparent with adenocarcinoma, you’re more likely to develop it. Alcohol: How often you drink beverages containing alcohol may contribute to adenocarcinoma, especially if you have a family history of the condition. Toxin exposure: Harmful toxins in your home or work environment can also cause adenocarcinoma. A body mass index (BMI) greater than 25 (having overweight/obesity): Carrying extra weight may be a risk factor for certain types of cancer, including adenocarcinoma. Previous radiation therapy: If you’ve had radiation therapy in the past, you have a higher risk of developing adenocarcinoma. Diagnosis and Tests How is adenocarcinoma diagnosed? A healthcare provider will start with a physical exam. They’ll ask about your symptoms and run some tests. These tests may include: Blood tests: Your blood can show signs of cancer, like high levels of certain enzymes or low red blood cell count. CT scan: This procedure takes detailed, three-dimensional images of the tissues inside your body. A CT scan helps your healthcare provider see if there’s anything abnormal going on. MRI: This imaging test uses radio waves and magnets to capture images of your organs and tissues. Biopsy: A healthcare provider takes a small sample of tissue from the affected organ. They’ll send it to a pathologist who’ll check it for cancer cells. A biopsy can tell you whether your cancer is in one organ or if it has spread and how much it has grown. How do doctors determine cancer grade? Healthcare providers look at cell differentiation to determine what grade of adenocarcinoma you have. Differentiation relates to how abnormal your cancer cells look under a microscope: Well-differentiated adenocarcinoma: Low-grade cancer that tends to grow and spread slowly. Moderately differentiated adenocarcinoma: Intermediate-grade cancer that grows faster than well-differentiated cells. Poorly differentiated adenocarcinoma: High-grade cancer that spreads faster than moderately differentiated cells. Adenocarcinoma stages Once you receive a diagnosis, your healthcare provider will stage the cancer. How they stage it can differ depending on the location. But here are some general guidelines: Stage 0 adenocarcinoma: The cancer hasn’t spread beyond where it started. This is adenocarcinoma in situ (meaning “in the original place”). Stage I (1) adenocarcinoma: Cancer cells have spread into some surrounding tissue but haven’t spread to lymph nodes or other organs. Stage II (2) adenocarcinoma: The cancer has spread deeper into surrounding tissue and possibly to nearby lymph nodes. It hasn’t spread to other organs. Stage III (3) adenocarcinoma: Cancer cells have spread into deeper layers of tissue, nearby lymph nodes and possibly into distant lymph nodes. The tumor may grow larger at this stage. Stage IV (4) adenocarcinoma: The cancer has traveled from the original location to other, distant parts of your body. This is metastatic adenocarcinoma."
affect labile,"A labile affect is characterized by emotions that shift quickly, drastically, and uncontrollably. Labile affect is typically associated with an underlying health condition. It can be a symptom of a mental health condition, or it can occur with conditions that affect the brain. Symptoms of a Labile Affect It's normal to experience various emotions throughout the day, but these shifts in mood are typically related to things that happen or thoughts that are occurring. People with a labile affect often experience extreme emotional reactions that may not relate to their current situation. These emotions are very strong and can seem to come out of nowhere. Oftentimes, these severe mood changes can interfere with daily activities. Strong emotional reactions that shift rapidly are the main symptom of a labile affect. These can include: Uncontrollable laughter Crying (without a specific cause) Inappropriate behavior for the situation (such as laughing at a funeral) Low tolerance for frustration Overreaction to situations Other Names for Labile Affect Emotional lability Labile mood Emotional incontinence Pathological laughing and crying Pseudobulbar affect (PBA) Involuntary emotional expression disorder (IEED) Causes of a Labile Affect People with certain neurological conditions and those with brain injuries can develop a specific type of labile affect called pseudobulbar affect (PBA). These medical conditions affect the way the brain controls emotion, which leads to unpredictable outbursts of laughing or crying. These conditions include: Traumatic brain injury Stroke Dementia Parkinson's disease Multiple sclerosis Amyotrophic lateral sclerosis (ALS) Brain tumors A labile affect can also occur with certain mental health and medical conditions, though the mood changes are not as sudden or inappropriate to the situation (like laughing uncontrollably in a serious setting). Mental health causes of a labile affect include: Major depressive disorder Anxiety disorders Bipolar disorder Personality disorders What Medications Can Cause a Labile Affect? Medications that may have a labile affect as a side effect include oral corticosteroids, such as prednisone, and some antidepressants. Are There Tests to Diagnose the Cause of a Labile Affect? There are no tests to directly diagnose a labile affect. However, routine testing may be done to determine an underlying cause, such as a brain injury. Mental health conditions that cause a labile affect are diagnosed using the Diagnostic and Statistical Manual of Mental Disorders (DSM-5). This clinical handbook gives mental health professionals specific criteria for determining whether or not a mental health condition is present. Pseudobulbular affect (PBA) is diagnosed using history, mental status examinations, and neurological testing. Sometimes standardized questionnaires and scales are used. Certain criteria that might support the diagnosis of PBA include: Emotional outbursts are unrelated to the current situation. Emotions being expressed do not reflect how the person is actually feeling. Emotional episodes follow a pattern of ramping up and then slowly decreasing. Episodes cause significant distress and interfere with daily functioning. How to Treat a Labile Affect A labile affect that is not severe might not require treatment. However, for many people, symptoms significantly interfere with daily life. Treatment for a labile affect can include medications and therapy."
