text,label
Thank you for the information!,1
"That’s very helpful, thank you!",1
Thanks for the insight!,1
I appreciate the explanation!,1
Thanks for understanding.,1
I’m grateful for your understanding.,1
Thank you for being patient with me.,1
Thanks for the clarification!,1
"That makes sense, thank you!",1
"Got it, thanks for explaining!",1
"That’s such a relief, thank you!",1
"I’m glad you could help, thanks!",1
"What a relief, thank you so much!",1
I truly appreciate it.,1
Thanks for your time.,1
I’m very grateful for your response.,1
Thank you for considering my request.,1
Thanks for being so accommodating!,1
I really appreciate you taking care of that.,1
"No problem, thank you!",1
Thank you for your kindness!,1
"I appreciate it, thank you!",1
